nrpess,segmento,cluster_engajamento,saldo_medio_conta,gasto_cartao_mes,freq_pix_mes,freq_boletos_mes,prob_organica_base
nrpess_007453,Especial,Moderado,7035.1,2003.08,4,5,0.35
nrpess_007454,Select,Muito Engajado,25497.94,4563.18,18,7,0.844
nrpess_007455,Private,Muito Engajado,50356.07,2731.44,29,8,0.95
nrpess_007456,Especial,Baixo Engajamento,9609.19,400.15,1,0,0.05
nrpess_007457,Varejo,Baixo Engajamento,645.37,330.6,1,1,0.073
nrpess_007458,Varejo,Baixo Engajamento,1730.52,882.92,1,3,0.167
nrpess_007459,Varejo,Muito Engajado,1259.84,4141.52,18,4,0.714
nrpess_007460,Varejo,Baixo Engajamento,3173.67,189.64,2,0,0.055
nrpess_007461,Varejo,Muito Engajado,1685.76,3825.34,16,9,0.856
nrpess_007462,Select,Muito Engajado,18505.54,3787.15,22,7,0.925
nrpess_007463,Varejo,Moderado,2444.05,1654.75,2,8,0.411
nrpess_007464,Varejo,Moderado,3419.34,1716.37,7,5,0.418
nrpess_007465,Varejo,Baixo Engajamento,2070.1,213.45,2,1,0.095
nrpess_007466,Select,Moderado,18977.69,1714.61,7,2,0.298
nrpess_007467,Especial,Muito Engajado,3154.73,4580.21,16,8,0.835
nrpess_007468,Especial,Muito Engajado,8697.33,4265.23,23,6,0.922
nrpess_007469,Varejo,Moderado,2587.76,1661.29,6,5,0.392
nrpess_007470,Select,Muito Engajado,22664.27,3827.35,24,5,0.896
nrpess_007471,Varejo,Moderado,2529.67,1604.18,9,6,0.505
nrpess_007472,Select,Moderado,23619.93,1634.18,8,4,0.401
nrpess_007473,Especial,Muito Engajado,6235.26,2592.82,13,4,0.55
nrpess_007474,Varejo,Baixo Engajamento,3676.89,796.91,1,3,0.165
nrpess_007475,Varejo,Moderado,2621.24,2560.83,12,1,0.404
nrpess_007476,Especial,Moderado,9162.78,2019.78,11,3,0.445
nrpess_007477,Varejo,Moderado,3200.38,2475.76,9,5,0.487
nrpess_007478,Select,Moderado,25530.22,1751.5,5,2,0.249
nrpess_007479,Varejo,Moderado,1487.05,615.72,5,3,0.26
nrpess_007480,Varejo,Muito Engajado,1340.57,3165.63,14,5,0.629
nrpess_007481,Varejo,Baixo Engajamento,2547.35,1286.21,1,1,0.097
nrpess_007482,Varejo,Muito Engajado,2879.15,3903.72,16,5,0.698
nrpess_007483,Varejo,Baixo Engajamento,1987.82,824.06,1,1,0.086
nrpess_007484,Varejo,Muito Engajado,1608.3,4351.25,19,7,0.864
nrpess_007485,Especial,Baixo Engajamento,6864.9,608.22,1,2,0.12
nrpess_007486,Varejo,Moderado,3649.76,1907.84,10,2,0.378
nrpess_007487,Private,Moderado,84235.52,1984.86,13,1,0.415
nrpess_007488,Especial,Muito Engajado,10227.52,3172.3,23,3,0.774
nrpess_007489,Select,Muito Engajado,18935.85,2564.53,19,4,0.699
nrpess_007490,Varejo,Baixo Engajamento,1991.9,425.62,4,0,0.111
nrpess_007491,Varejo,Baixo Engajamento,1930.12,135.43,2,0,0.053
nrpess_007492,Varejo,Moderado,3006.07,1704.34,9,0,0.268
nrpess_007493,Especial,Moderado,10352.0,894.43,9,1,0.287
nrpess_007494,Select,Muito Engajado,21660.31,4064.6,14,7,0.732
nrpess_007495,Varejo,Moderado,1592.51,1536.05,8,3,0.358
nrpess_007496,Varejo,Moderado,1025.3,1525.23,5,0,0.163
nrpess_007497,Select,Muito Engajado,27999.94,4894.09,16,8,0.842
nrpess_007498,Varejo,Moderado,1933.51,2527.65,8,3,0.383
nrpess_007499,Especial,Moderado,4994.31,1873.47,12,5,0.547
nrpess_007500,Especial,Muito Engajado,6396.36,3757.16,15,4,0.629
nrpess_007501,Select,Muito Engajado,40401.47,1399.71,19,9,0.87
nrpess_007502,Varejo,Moderado,731.83,1815.55,13,3,0.49
nrpess_007503,Varejo,Muito Engajado,2372.2,3385.13,18,5,0.735
nrpess_007504,Especial,Baixo Engajamento,9834.08,626.46,3,0,0.091
nrpess_007505,Select,Moderado,21649.39,1534.26,5,5,0.363
nrpess_007506,Varejo,Muito Engajado,1719.88,3767.1,12,2,0.474
nrpess_007507,Varejo,Baixo Engajamento,1175.75,168.46,1,0,0.05
nrpess_007508,Especial,Moderado,11143.54,1756.47,4,6,0.384
nrpess_007509,Select,Moderado,30533.27,1789.38,8,4,0.405
nrpess_007510,Select,Moderado,30011.19,1795.12,6,4,0.355
nrpess_007511,Private,Muito Engajado,102052.7,2485.68,28,3,0.882
nrpess_007512,Varejo,Moderado,1219.1,1757.28,9,1,0.309
nrpess_007513,Varejo,Moderado,1406.35,2141.81,3,3,0.249
nrpess_007514,Especial,Moderado,7564.2,2436.13,9,1,0.326
nrpess_007515,Select,Moderado,25883.81,2292.21,9,2,0.362
nrpess_007516,Varejo,Moderado,1950.98,1769.61,9,1,0.309
nrpess_007517,Varejo,Baixo Engajamento,0.0,898.53,2,1,0.112
nrpess_007518,Especial,Moderado,10650.89,2421.52,3,2,0.216
nrpess_007519,Varejo,Moderado,3527.8,1745.06,8,6,0.484
nrpess_007520,Varejo,Moderado,1215.41,2233.56,4,5,0.356
nrpess_007521,Especial,Muito Engajado,6523.78,3149.78,20,5,0.779
nrpess_007522,Especial,Baixo Engajamento,7132.83,405.81,1,1,0.075
nrpess_007523,Especial,Baixo Engajamento,4966.33,1010.11,0,2,0.105
nrpess_007524,Varejo,Muito Engajado,2447.59,3035.62,12,6,0.616
nrpess_007525,Especial,Baixo Engajamento,12695.13,602.06,2,1,0.105
nrpess_007526,Especial,Moderado,9238.46,1221.35,6,5,0.381
nrpess_007527,Especial,Moderado,11675.1,2560.8,8,5,0.464
nrpess_007528,Especial,Muito Engajado,5856.13,5164.04,20,4,0.789
nrpess_007529,Varejo,Moderado,1344.25,1628.11,5,1,0.206
nrpess_007530,Varejo,Moderado,1389.91,2024.44,8,3,0.371
nrpess_007531,Varejo,Muito Engajado,1156.41,4111.32,11,5,0.578
nrpess_007532,Varejo,Moderado,1989.15,2042.06,7,3,0.346
nrpess_007533,Especial,Baixo Engajamento,7571.83,738.69,1,2,0.123
nrpess_007534,Select,Moderado,20530.72,1834.89,12,2,0.426
nrpess_007535,Especial,Moderado,9712.71,2627.05,6,4,0.376
nrpess_007536,Especial,Moderado,10231.71,2063.66,6,3,0.322
nrpess_007537,Varejo,Muito Engajado,817.08,3368.61,30,7,0.95
nrpess_007538,Varejo,Baixo Engajamento,2361.01,694.81,1,2,0.122
nrpess_007539,Varejo,Baixo Engajamento,1941.16,663.8,1,1,0.082
nrpess_007540,Varejo,Moderado,567.24,1660.8,5,1,0.207
nrpess_007541,Varejo,Muito Engajado,3461.82,3991.02,25,3,0.845
nrpess_007542,Especial,Muito Engajado,8076.0,3308.78,17,6,0.748
nrpess_007543,Private,Muito Engajado,100239.66,4084.16,17,3,0.647
nrpess_007544,Varejo,Moderado,2104.77,2045.22,11,3,0.446
nrpess_007545,Varejo,Muito Engajado,3455.58,4033.72,20,3,0.721
nrpess_007546,Especial,Moderado,9491.41,1865.25,7,1,0.262
nrpess_007547,Varejo,Moderado,2105.67,1616.19,7,1,0.255
nrpess_007548,Select,Muito Engajado,34790.63,3023.04,11,4,0.511
nrpess_007549,Especial,Moderado,11796.72,1913.88,4,6,0.388
nrpess_007550,Select,Muito Engajado,45574.11,3328.28,23,8,0.95
nrpess_007551,Varejo,Baixo Engajamento,2676.92,360.16,2,0,0.059
nrpess_007552,Especial,Moderado,7882.32,2104.48,7,1,0.268
nrpess_007553,Varejo,Moderado,3623.21,1242.47,5,2,0.236
nrpess_007554,Especial,Muito Engajado,13912.38,4385.02,12,6,0.65
nrpess_007555,Varejo,Baixo Engajamento,1682.63,495.1,3,1,0.127
nrpess_007556,Varejo,Moderado,602.15,1142.36,4,3,0.249
nrpess_007557,Especial,Moderado,5027.75,2226.49,8,3,0.376
nrpess_007558,Especial,Muito Engajado,4505.19,3104.88,11,6,0.593
nrpess_007559,Select,Moderado,26799.89,1317.28,8,4,0.393
nrpess_007560,Especial,Moderado,8736.84,2160.88,9,2,0.359
nrpess_007561,Especial,Baixo Engajamento,5685.63,50.0,0,0,0.05
nrpess_007562,Varejo,Baixo Engajamento,2595.85,199.91,4,0,0.105
nrpess_007563,Especial,Moderado,4047.17,1614.18,2,5,0.29
nrpess_007564,Especial,Baixo Engajamento,8033.74,210.55,0,3,0.125
nrpess_007565,Select,Muito Engajado,37965.85,4136.69,17,3,0.648
nrpess_007566,Select,Moderado,27722.71,1712.81,9,3,0.388
nrpess_007567,Varejo,Moderado,854.91,2004.04,7,5,0.425
nrpess_007568,Select,Muito Engajado,26372.7,2388.92,15,11,0.875
nrpess_007569,Varejo,Baixo Engajamento,756.64,805.48,2,0,0.07
nrpess_007570,Varejo,Muito Engajado,2538.0,3137.26,13,9,0.763
nrpess_007571,Especial,Baixo Engajamento,7198.94,697.26,3,1,0.132
nrpess_007572,Varejo,Baixo Engajamento,2202.83,838.39,0,1,0.061
nrpess_007573,Especial,Moderado,6709.24,1377.97,5,3,0.279
nrpess_007574,Varejo,Muito Engajado,1340.42,3410.15,17,5,0.71
nrpess_007575,Varejo,Muito Engajado,793.11,2788.96,17,8,0.815
nrpess_007576,Especial,Muito Engajado,12783.07,3116.34,14,5,0.628
nrpess_007577,Especial,Moderado,9301.89,1915.69,4,4,0.308
nrpess_007578,Select,Moderado,13589.01,1887.33,8,5,0.447
nrpess_007579,Especial,Moderado,5258.83,1307.21,9,0,0.258
nrpess_007580,Especial,Baixo Engajamento,7537.41,1118.84,1,1,0.093
nrpess_007581,Varejo,Moderado,1062.15,1698.58,7,2,0.297
nrpess_007582,Varejo,Muito Engajado,2180.12,3433.42,16,2,0.566
nrpess_007583,Varejo,Baixo Engajamento,1348.17,566.19,2,1,0.104
nrpess_007584,Especial,Moderado,6642.4,1626.2,10,4,0.451
nrpess_007585,Especial,Moderado,7697.99,2665.18,9,4,0.452
nrpess_007586,Varejo,Baixo Engajamento,1989.03,456.88,1,1,0.076
nrpess_007587,Especial,Baixo Engajamento,8989.12,586.99,1,2,0.12
nrpess_007588,Especial,Baixo Engajamento,9071.84,558.04,3,1,0.129
nrpess_007589,Varejo,Muito Engajado,2326.48,2533.0,16,6,0.703
nrpess_007590,Varejo,Moderado,1680.76,1266.18,12,5,0.532
nrpess_007591,Select,Muito Engajado,15896.97,3834.25,25,9,0.95
nrpess_007592,Especial,Baixo Engajamento,6042.43,560.44,3,0,0.089
nrpess_007593,Select,Muito Engajado,36175.91,3231.29,11,8,0.676
nrpess_007594,Varejo,Muito Engajado,1606.47,4177.17,22,8,0.95
nrpess_007595,Private,Baixo Engajamento,35817.97,747.82,1,2,0.124
nrpess_007596,Varejo,Baixo Engajamento,1160.38,325.55,3,1,0.123
nrpess_007597,Varejo,Moderado,1383.54,1370.39,3,3,0.229
nrpess_007598,Private,Muito Engajado,77306.49,2738.12,17,6,0.733
nrpess_007599,Varejo,Moderado,1328.5,1759.5,7,6,0.459
nrpess_007600,Especial,Baixo Engajamento,3763.06,687.34,5,0,0.142
nrpess_007601,Varejo,Moderado,1618.88,1747.85,11,1,0.359
nrpess_007602,Especial,Muito Engajado,9120.29,1138.13,13,3,0.473
nrpess_007603,Select,Muito Engajado,43064.68,4238.27,32,9,0.95
nrpess_007604,Varejo,Baixo Engajamento,1762.17,272.82,2,2,0.137
nrpess_007605,Especial,Moderado,11304.42,2316.38,9,3,0.403
nrpess_007606,Varejo,Moderado,1654.21,1135.33,5,1,0.193
nrpess_007607,Especial,Moderado,12293.21,2496.52,9,3,0.407
nrpess_007608,Varejo,Moderado,3119.94,2312.89,10,3,0.428
nrpess_007609,Varejo,Baixo Engajamento,1593.11,409.62,3,1,0.125
nrpess_007610,Varejo,Moderado,1038.25,1760.97,8,4,0.404
nrpess_007611,Varejo,Moderado,453.89,698.61,9,4,0.402
nrpess_007612,Select,Muito Engajado,46055.21,4179.85,18,7,0.834
nrpess_007613,Varejo,Muito Engajado,2146.7,3031.3,13,9,0.761
nrpess_007614,Varejo,Baixo Engajamento,2407.12,1350.63,2,0,0.084
nrpess_007615,Varejo,Baixo Engajamento,1525.88,943.46,4,3,0.244
nrpess_007616,Varejo,Moderado,2333.77,1869.37,13,3,0.492
nrpess_007617,Especial,Muito Engajado,9236.29,4569.26,27,5,0.95
nrpess_007618,Private,Muito Engajado,94895.21,2496.45,12,7,0.642
nrpess_007619,Varejo,Baixo Engajamento,1804.07,724.85,0,1,0.058
nrpess_007620,Select,Moderado,35125.38,2019.72,8,2,0.33
nrpess_007621,Especial,Baixo Engajamento,8269.47,319.81,4,0,0.108
nrpess_007622,Varejo,Moderado,2282.91,1429.71,8,5,0.436
nrpess_007623,Especial,Baixo Engajamento,4673.93,629.38,2,0,0.066
nrpess_007624,Especial,Baixo Engajamento,7194.04,382.1,3,1,0.125
nrpess_007625,Especial,Muito Engajado,7913.9,3240.81,16,5,0.681
nrpess_007626,Select,Baixo Engajamento,17554.09,779.16,0,1,0.059
nrpess_007627,Varejo,Muito Engajado,1849.41,4135.41,14,6,0.693
nrpess_007628,Select,Muito Engajado,42594.6,5514.53,22,9,0.95
nrpess_007629,Especial,Moderado,7074.77,2397.88,6,4,0.37
nrpess_007630,Varejo,Moderado,1277.3,1519.58,6,2,0.268
nrpess_007631,Especial,Moderado,8198.96,1755.04,10,2,0.374
nrpess_007632,Varejo,Moderado,3078.09,2272.74,7,5,0.432
nrpess_007633,Private,Muito Engajado,82061.96,2479.44,14,5,0.612
nrpess_007634,Especial,Muito Engajado,12439.16,2480.22,18,8,0.832
nrpess_007635,Varejo,Moderado,1481.91,2086.33,7,1,0.267
nrpess_007636,Varejo,Moderado,1729.17,1463.03,7,2,0.292
nrpess_007637,Especial,Moderado,8057.51,1476.47,11,2,0.392
nrpess_007638,Varejo,Moderado,2418.98,2411.19,6,4,0.37
nrpess_007639,Varejo,Baixo Engajamento,2053.15,729.95,0,1,0.058
nrpess_007640,Varejo,Moderado,452.5,2112.77,5,5,0.378
nrpess_007641,Varejo,Muito Engajado,2724.24,3409.08,22,7,0.915
nrpess_007642,Varejo,Moderado,1109.27,2234.24,14,3,0.526
nrpess_007643,Varejo,Moderado,945.25,1660.96,8,3,0.362
nrpess_007644,Varejo,Moderado,1527.22,1165.67,7,3,0.324
nrpess_007645,Especial,Moderado,8190.21,1481.65,6,6,0.427
nrpess_007646,Especial,Moderado,9255.74,1688.14,4,1,0.182
nrpess_007647,Varejo,Muito Engajado,1533.32,5161.86,16,5,0.729
nrpess_007648,Varejo,Moderado,2114.93,1398.74,10,5,0.485
nrpess_007649,Especial,Muito Engajado,11519.74,5068.45,23,6,0.942
nrpess_007650,Varejo,Moderado,1896.42,1558.62,9,3,0.384
nrpess_007651,Varejo,Moderado,1487.13,1739.05,7,4,0.378
nrpess_007652,Varejo,Moderado,1924.79,2136.51,6,2,0.283
nrpess_007653,Select,Moderado,30429.08,2085.21,5,3,0.297
nrpess_007654,Especial,Muito Engajado,8268.22,3811.45,15,7,0.75
nrpess_007655,Especial,Baixo Engajamento,6031.36,232.06,1,0,0.05
nrpess_007656,Especial,Moderado,9553.78,1861.95,8,2,0.327
nrpess_007657,Especial,Moderado,7088.41,1364.8,1,2,0.139
nrpess_007658,Varejo,Muito Engajado,1395.73,4356.25,19,7,0.864
nrpess_007659,Especial,Muito Engajado,9357.87,4443.23,19,5,0.786
nrpess_007660,Varejo,Moderado,3208.95,2141.59,11,3,0.449
nrpess_007661,Especial,Moderado,5626.24,1711.4,6,1,0.233
nrpess_007662,Especial,Muito Engajado,4959.66,2869.26,22,9,0.95
nrpess_007663,Especial,Moderado,8850.48,2031.59,11,4,0.486
nrpess_007664,Varejo,Moderado,3164.66,1251.59,13,4,0.516
nrpess_007665,Varejo,Moderado,527.87,1258.28,9,3,0.376
nrpess_007666,Especial,Moderado,7966.47,1603.38,10,4,0.45
nrpess_007667,Especial,Baixo Engajamento,7120.73,751.2,0,2,0.099
nrpess_007668,Select,Muito Engajado,26638.61,3454.53,15,1,0.501
nrpess_007669,Varejo,Moderado,2654.58,1752.44,15,0,0.419
nrpess_007670,Especial,Muito Engajado,6732.28,3973.98,14,4,0.609
nrpess_007671,Especial,Moderado,6947.18,519.77,5,1,0.178
nrpess_007672,Select,Moderado,29463.23,1847.8,15,3,0.541
nrpess_007673,Especial,Muito Engajado,10821.05,1997.01,15,7,0.705
nrpess_007674,Especial,Moderado,8627.28,1912.81,9,2,0.353
nrpess_007675,Especial,Baixo Engajamento,7286.62,694.72,1,0,0.05
nrpess_007676,Especial,Muito Engajado,10449.71,2945.65,16,8,0.794
nrpess_007677,Private,Moderado,44726.59,1604.73,4,2,0.22
nrpess_007678,Varejo,Baixo Engajamento,1259.91,1192.14,0,3,0.15
nrpess_007679,Varejo,Moderado,3901.67,1591.6,5,3,0.285
nrpess_007680,Select,Moderado,28709.16,2355.42,9,6,0.524
nrpess_007681,Especial,Baixo Engajamento,7280.35,205.22,1,0,0.05
nrpess_007682,Especial,Muito Engajado,3059.34,4594.9,22,7,0.945
nrpess_007683,Varejo,Muito Engajado,2111.51,1388.23,16,10,0.835
nrpess_007684,Varejo,Baixo Engajamento,356.89,353.74,3,2,0.164
nrpess_007685,Especial,Baixo Engajamento,6142.86,485.15,1,0,0.05
nrpess_007686,Especial,Muito Engajado,3366.01,4823.14,15,7,0.776
nrpess_007687,Varejo,Moderado,466.43,2167.86,11,5,0.529
nrpess_007688,Varejo,Moderado,540.53,1477.15,10,5,0.487
nrpess_007689,Select,Baixo Engajamento,34297.26,331.29,2,1,0.098
nrpess_007690,Varejo,Moderado,1523.85,1333.75,11,2,0.388
nrpess_007691,Select,Baixo Engajamento,24835.49,1029.22,2,2,0.156
nrpess_007692,Varejo,Baixo Engajamento,3177.0,332.97,1,0,0.05
nrpess_007693,Especial,Baixo Engajamento,6353.49,573.33,1,2,0.119
nrpess_007694,Select,Moderado,25655.98,1396.21,7,4,0.37
nrpess_007695,Especial,Moderado,5596.97,1373.63,12,4,0.494
nrpess_007696,Varejo,Muito Engajado,2612.15,3568.25,21,5,0.814
nrpess_007697,Especial,Moderado,10541.04,1434.24,1,7,0.341
nrpess_007698,Varejo,Moderado,0.0,817.2,5,1,0.185
nrpess_007699,Varejo,Moderado,3358.41,2082.37,4,3,0.272
nrpess_007700,Private,Moderado,132797.37,2468.03,6,3,0.332
nrpess_007701,Especial,Moderado,7260.2,2024.93,5,1,0.216
nrpess_007702,Especial,Baixo Engajamento,7991.84,1035.58,1,1,0.091
nrpess_007703,Varejo,Moderado,1955.73,1885.8,6,3,0.317
nrpess_007704,Varejo,Muito Engajado,924.93,4092.89,19,2,0.657
nrpess_007705,Varejo,Moderado,2352.46,1314.2,6,2,0.263
nrpess_007706,Especial,Baixo Engajamento,11862.85,738.54,1,0,0.05
nrpess_007707,Especial,Baixo Engajamento,10006.62,788.8,1,2,0.125
nrpess_007708,Especial,Muito Engajado,8433.84,3825.05,18,4,0.706
nrpess_007709,Select,Moderado,18945.07,2635.83,10,1,0.356
nrpess_007710,Varejo,Baixo Engajamento,3482.84,282.32,1,1,0.072
nrpess_007711,Varejo,Muito Engajado,1001.04,5099.41,20,6,0.867
nrpess_007712,Varejo,Moderado,596.3,2915.94,9,6,0.538
nrpess_007713,Varejo,Moderado,2544.75,1563.23,8,1,0.279
nrpess_007714,Varejo,Moderado,1333.97,1874.29,15,0,0.422
nrpess_007715,Select,Moderado,20261.46,2208.49,9,2,0.36
nrpess_007716,Varejo,Muito Engajado,2345.75,3243.0,28,11,0.95
nrpess_007717,Select,Moderado,14340.55,1661.44,5,2,0.247
nrpess_007718,Varejo,Muito Engajado,461.02,3418.14,18,7,0.815
nrpess_007719,Private,Moderado,102381.93,2399.17,4,1,0.2
nrpess_007720,Especial,Moderado,11697.48,749.16,10,6,0.509
nrpess_007721,Select,Moderado,34406.51,2478.67,4,4,0.322
nrpess_007722,Varejo,Muito Engajado,336.12,3753.73,22,4,0.804
nrpess_007723,Especial,Moderado,11749.68,2397.68,8,2,0.34
nrpess_007724,Select,Moderado,27389.78,2175.33,6,2,0.284
nrpess_007725,Varejo,Moderado,1309.88,2575.48,14,4,0.574
nrpess_007726,Varejo,Moderado,1188.27,2241.31,12,0,0.356
nrpess_007727,Varejo,Moderado,1787.8,2089.36,6,3,0.322
nrpess_007728,Select,Muito Engajado,40294.64,4284.59,22,8,0.95
nrpess_007729,Especial,Muito Engajado,14039.33,2764.71,17,4,0.654
nrpess_007730,Especial,Muito Engajado,3302.2,2643.83,20,10,0.95
nrpess_007731,Varejo,Moderado,2793.77,2186.48,10,4,0.465
nrpess_007732,Varejo,Moderado,1634.04,2177.53,4,6,0.394
nrpess_007733,Select,Baixo Engajamento,29416.01,320.8,2,1,0.098
nrpess_007734,Varejo,Moderado,1131.98,1371.67,7,2,0.289
nrpess_007735,Especial,Baixo Engajamento,10912.24,645.34,1,1,0.081
nrpess_007736,Select,Moderado,16552.6,1618.9,8,2,0.32
nrpess_007737,Varejo,Moderado,1804.38,2150.94,8,5,0.454
nrpess_007738,Especial,Baixo Engajamento,8177.45,911.29,3,0,0.098
nrpess_007739,Varejo,Muito Engajado,2243.42,3896.09,22,7,0.927
nrpess_007740,Especial,Moderado,8384.59,1943.88,4,2,0.229
nrpess_007741,Varejo,Muito Engajado,1717.32,3078.91,14,12,0.907
nrpess_007742,Especial,Baixo Engajamento,8199.63,787.54,1,1,0.085
nrpess_007743,Varejo,Moderado,422.0,1984.37,11,5,0.525
nrpess_007744,Varejo,Muito Engajado,1865.02,3263.5,29,12,0.95
nrpess_007745,Especial,Moderado,5624.57,2351.01,9,4,0.444
nrpess_007746,Varejo,Muito Engajado,2208.05,2724.96,17,4,0.653
nrpess_007747,Especial,Baixo Engajamento,9526.16,611.71,5,4,0.3
nrpess_007748,Varejo,Moderado,1292.02,1902.05,8,2,0.328
nrpess_007749,Especial,Moderado,7701.05,951.35,8,1,0.264
nrpess_007750,Varejo,Moderado,2598.54,1946.85,10,4,0.459
nrpess_007751,Especial,Baixo Engajamento,7749.24,747.88,2,2,0.149
nrpess_007752,Varejo,Baixo Engajamento,633.98,830.31,0,2,0.101
nrpess_007753,Varejo,Baixo Engajamento,723.98,443.21,3,1,0.126
nrpess_007754,Varejo,Baixo Engajamento,1713.32,621.57,3,0,0.091
nrpess_007755,Especial,Muito Engajado,8474.63,2859.02,16,8,0.791
nrpess_007756,Varejo,Baixo Engajamento,1718.27,305.31,4,0,0.108
nrpess_007757,Select,Moderado,8989.71,1339.68,5,2,0.238
nrpess_007758,Select,Baixo Engajamento,36384.8,805.2,1,1,0.085
nrpess_007759,Varejo,Moderado,1897.2,2519.53,13,2,0.468
nrpess_007760,Especial,Muito Engajado,8090.59,2512.54,15,5,0.638
nrpess_007761,Varejo,Moderado,3661.04,1506.23,4,4,0.298
nrpess_007762,Varejo,Muito Engajado,2501.73,3436.01,19,6,0.801
nrpess_007763,Especial,Moderado,9616.55,3117.3,10,7,0.608
nrpess_007764,Especial,Moderado,7809.28,2193.74,8,1,0.295
nrpess_007765,Especial,Muito Engajado,7234.85,3184.37,16,4,0.64
nrpess_007766,Varejo,Baixo Engajamento,677.36,359.83,0,0,0.05
nrpess_007767,Varejo,Baixo Engajamento,3031.21,702.18,1,1,0.083
nrpess_007768,Varejo,Baixo Engajamento,1209.24,354.04,2,1,0.099
nrpess_007769,Especial,Baixo Engajamento,12812.94,486.49,2,3,0.182
nrpess_007770,Especial,Moderado,9047.74,1630.68,6,5,0.391
nrpess_007771,Especial,Moderado,7566.69,2049.15,5,2,0.256
nrpess_007772,Varejo,Muito Engajado,3409.75,3946.03,23,4,0.834
nrpess_007773,Varejo,Baixo Engajamento,1276.24,740.49,2,1,0.109
nrpess_007774,Varejo,Baixo Engajamento,3826.58,534.6,2,0,0.063
nrpess_007775,Varejo,Moderado,1654.39,2905.92,7,4,0.408
nrpess_007776,Varejo,Baixo Engajamento,1947.61,894.74,2,0,0.072
nrpess_007777,Select,Moderado,28335.28,845.99,5,6,0.386
nrpess_007778,Select,Moderado,24903.13,2238.33,5,2,0.261
nrpess_007779,Especial,Baixo Engajamento,2412.39,660.21,2,1,0.107
nrpess_007780,Varejo,Moderado,1607.9,954.39,5,1,0.189
nrpess_007781,Varejo,Moderado,1389.34,2145.35,8,4,0.414
nrpess_007782,Select,Moderado,1837.09,2019.7,4,4,0.31
nrpess_007783,Varejo,Moderado,2188.11,1397.23,9,3,0.38
nrpess_007784,Select,Moderado,24589.49,1207.04,6,2,0.26
nrpess_007785,Varejo,Moderado,2856.93,2497.91,9,1,0.327
nrpess_007786,Varejo,Moderado,2433.93,2053.08,7,4,0.386
nrpess_007787,Select,Moderado,26295.01,1404.51,10,3,0.405
nrpess_007788,Varejo,Moderado,2323.96,2131.27,7,5,0.428
nrpess_007789,Especial,Baixo Engajamento,9120.08,356.68,1,0,0.05
nrpess_007790,Especial,Muito Engajado,10191.29,4207.18,17,5,0.73
nrpess_007791,Varejo,Muito Engajado,2040.21,3330.13,16,3,0.603
nrpess_007792,Varejo,Muito Engajado,1843.99,2816.56,12,6,0.61
nrpess_007793,Especial,Baixo Engajamento,8973.05,667.53,2,0,0.067
nrpess_007794,Especial,Moderado,10536.48,1716.72,5,2,0.248
nrpess_007795,Varejo,Baixo Engajamento,1750.32,792.86,2,1,0.11
nrpess_007796,Select,Moderado,20318.79,1167.99,10,3,0.399
nrpess_007797,Varejo,Moderado,1470.85,1691.24,7,2,0.297
nrpess_007798,Varejo,Baixo Engajamento,837.74,395.29,2,1,0.1
nrpess_007799,Varejo,Muito Engajado,1322.13,4950.28,28,7,0.95
nrpess_007800,Varejo,Moderado,2343.91,1727.42,12,1,0.383
nrpess_007801,Varejo,Moderado,2315.2,1844.29,9,1,0.311
nrpess_007802,Private,Moderado,108343.62,1963.58,4,5,0.349
nrpess_007803,Varejo,Moderado,1805.76,1568.04,11,6,0.554
nrpess_007804,Varejo,Muito Engajado,1124.05,4511.22,21,3,0.758
nrpess_007805,Varejo,Muito Engajado,2195.5,3910.51,17,9,0.883
nrpess_007806,Especial,Moderado,7863.78,1761.14,8,4,0.404
nrpess_007807,Select,Baixo Engajamento,26378.68,704.55,0,1,0.058
nrpess_007808,Varejo,Muito Engajado,2957.55,2817.89,13,4,0.555
nrpess_007809,Varejo,Moderado,3181.22,2743.56,8,6,0.509
nrpess_007810,Varejo,Muito Engajado,157.22,3781.73,16,4,0.655
nrpess_007811,Varejo,Moderado,1935.04,1604.83,8,5,0.44
nrpess_007812,Varejo,Moderado,1834.71,1973.64,10,2,0.379
nrpess_007813,Varejo,Baixo Engajamento,1968.87,872.23,2,1,0.112
nrpess_007814,Varejo,Baixo Engajamento,1666.98,450.11,1,1,0.076
nrpess_007815,Especial,Moderado,8245.01,2010.12,11,1,0.365
nrpess_007816,Varejo,Muito Engajado,502.09,2885.78,17,1,0.537
nrpess_007817,Select,Muito Engajado,19878.87,4356.35,19,3,0.704
nrpess_007818,Select,Baixo Engajamento,33622.21,915.86,7,1,0.238
nrpess_007819,Especial,Moderado,8581.37,2477.19,10,1,0.352
nrpess_007820,Varejo,Muito Engajado,1178.92,4604.3,16,7,0.795
nrpess_007821,Varejo,Muito Engajado,816.06,3202.01,14,6,0.67
nrpess_007822,Varejo,Moderado,284.13,2336.8,3,5,0.333
nrpess_007823,Especial,Muito Engajado,9065.57,4344.7,16,6,0.749
nrpess_007824,Varejo,Baixo Engajamento,1923.65,816.13,0,1,0.06
nrpess_007825,Select,Moderado,12189.02,2117.96,2,0,0.103
nrpess_007826,Select,Moderado,24968.88,1869.34,6,4,0.357
nrpess_007827,Varejo,Moderado,1992.47,1904.56,11,3,0.443
nrpess_007828,Especial,Moderado,5920.75,2258.02,7,3,0.351
